Rantzaustraße 	PK 37		
Rautenbergstraße	PK 11		
Rebeccaweg 	PK 37		
Redder	PK 35		
Regerstraße 	PK 25	Freigabe 6/2012	
Reichardtstraße	PK 25	Freigabe 6/2012	
Reiherhoopweg	PK 46	Freigabe 2012	
Reinfeldstraße	PK 17		
Rellinger Straße	PK 23	Freigabe 4/2012	
Rendsburger Straße	PK 15	Freigabe 2012	
Resskamp	PK 26	Freigabe 6/2012	
Richterstraße                               	PK 31	Freigabe 6/2012	
Rispenweg	PK 25	Freigabe 6/2012	
Rombergstraße	PK 23		
Roonstraße	PK 23		
Rosamstwiete	PK 31	Freigabe 6/2012	
Rothesoodstraße	PK 14	Freigabe 10/2012	
Sandbek	PK 47	Freigabe 6/2012	
Sanitasstr. 	PK 44	Freigabe 2/2012	
Schachblumenweg	PK 27	Freigabe 5/2012	
Schadesweg	PK 41	Freigabe 5/2012	
Schäferstraße	PK 17		
Schaudinnstwiete	PK 31	Freigabe 6/2012	
Schedestraße	PK 23		
Schellerdamm	WSPK3	Freigabe 6/2012	
Scheteligsweg	PK 42		
Schlüterstraße	PK 17		
Schneeglöckchenweg	PK 37	frei 1/2014	
Schneverdinger Weg	PK 46		
Schopstraße	PK 23		
Schrötteringksweg	PK 31		
Schulbergredder	PK 35		
Schurzallee-Nord 	PK 41		
Schwarze Straße	PK 41		
Schwenckestraße (teilweise freigegeben)	PK 23		
Schwengelkamp	PK 25	Freigabe 6/2012	
Seebeckring	PK 36		
Seestraße	PK 25		
Seestücken	PK 46	Freigabe 2012	
Selliusstraße	PK 23		
Silcherstraße	PK 25	Freigabe 5/2012	
Slomanstr.	PK 44	Freigabe 3/2012	
Smidtstraße	PK 41	Freigabe 5/2012	
Soester Straße	PK 11	Freigabe 6/2012	
Soltauer Ring	PK 46	Freigabe 2012	
Sonnentauweg 	PK 36		
Spengelweg	PK 23		
Sportplatzring	PK 27		
St. Georgs Kirchhof	PK 11		
St. Georgstraße	PK 11		
Stammanstraße	PK 33		
Stapelstraße	PK 23		
Starstraße	PK 31	Freigabe 6/2012	
Steendiek	PK 47	Freigabe 6/2012	
Steindamm	PK 11		
Stemmeshay	PK 38		
Sternbergweg	PK 26	Freigabe 6/2012	
Stockhausenstraße	PK 31		
Stübenhofer Weg	PK 44		
Stuvkamp                                    	PK 31	Freigabe 6/2012	
Sudeckstraße	PK 23		
Suhrsweg                                    	PK 31	Freigabe 6/2012	
Susannenstraße	PK 16		
Talstraße	PK 15	Freigabe 2012	
Talstraße	PK 15	Freigabe 2012	
Tangstedter Landstraße 	PK 34		
Tannenberg	PK 25	Freigabe 5/2012	
Teerosenweg	PK 36		
Tieloh	PK 31		
Tilsiter Straße 	PK 37		
Tivoliweg	PK 46		
Töpferhof	PK 43		
Trelder Weg	PK 46	Freigabe 2012	
Trencknerweg	PK 25	Freigabe 6/2012	
Trittauer Amtsweg	PK 36		
Ulmenau                                     	PK 31	Freigabe 6/2012	
Valparaisostraße	PK 25	Freigabe 6/2012	
Veilchenweg	PK 23		
Vinzenzweg	PK 46		
Vogelhüttendeich	PK 44	Freigabe 3/2012	
Vogesenstraße	PK 37	Freigabe 5/2012	
Voigtstraße	PK 23		
Von-Graffen-Straße	PK 41	Freigabe 5/2012	
von-Heß-Weg	PK 41	Freigabe 5/2012	
von-Hutten-Straße (nördl. Wormser Str.)	PK 25		
Wackerhagen	PK 41	Freigabe 5/2012	
Wagnerkoppel	PK38		
Waitzstraße (Teilstück frei)	PK 25	Freigabe 6/2012	
Walsroder Ring	PK 46	Freigabe 2012	
Walther-Kunze-Straße (Verbot der   Einfahrt/Spielstr.)	PK 21	Freigabe 6/2012	
Washingtonring	PK 42	Freigabe 6/2012	
Wattenbergstrasse	PK 46		
Wedeler Landstraße	PK 26	Freigabe 6/2012	
Weimarer Straße	PK 44	Freigabe 2/2012	
Weißenburger Straße	PK 37		
Weizenkamp                                  	PK 31	Freigabe 6/2012	
Wendloher Weg	PK 23		
Werfelring 	PK 36		
Wetkesgarten	PK 41	Freigabe 5/2012	
Wiebischenkamp	PK 27		
Wiedehopfstieg	PK 36		
Wienbargstraße	PK 25	Freigabe 6/2012	
Wiesenstraße	PK 23		
Wikingstraße	PK 47	Freigabe 6/2012	
Wilhelmsburger Str	PK 44	Freigabe 3/2012	
Wilhelmstraße	PK 46		
Wittenkamp	PK 36		
Witts Allee	PK 26	Freigabe 6/2012	
Wohlwillstraße	PK 16		
Woldsenweg	PK 23	Freigabe 4/2012	
Wrangelstraße	PK 23		
Wriedestraße	PK 47	Freigabe 6/2012	
Wülpensand	PK 26	Freigabe 6/2012	
Würffelstraße	PK 46	Freigabe 2012	
Zeisigstraße	PK 31	Freigabe 6/2012	
Zeißstraße	PK 21	Freigabe 6/2012	
Zwanckweg	PK 36		
