name	id	lat	lon
De-Voß-Straße		PK 21	Freigabe 6/2012	okay		53.5454227	9.9496376
Kastanienallee		PK 15		okay		53.5487272	9.9651613
Burmesterstraße		PK 31		okay		53.5867365	10.03774
Bieberstraße		PK 17		okay		53.569554	9.9853491
Goldbekweg		PK 33	inzwischen freigegeben (12/14)	okay		53.590193	10.0176386
Droopweg		PK 41	Freigabe 5/2012	okay		53.552993	10.0609156
Baurs Park		PK 26	Freigabe 6/2012	okay		53.558238	9.8125023
Maimoorweg		PK 36		okay		53.6067855	10.0755799
Luisenweg		PK 41	Freigabe 4/2012	okay		53.5476721	10.0452776
Industriestraße		PK 44		okay		53.5082301	9.9826942
Pulverteich		PK 11		okay		53.5533924	10.0147177
Wülpensand		PK 26	Freigabe 6/2012	okay		53.5793151	9.7495684
Weimarer Straße		PK 44	Freigabe 2/2012	okay		53.5149502	9.9884079
Alsterkamp		PK 17	Freigabe 2/2012	okay		53.5772168	9.9954304
Suhrsweg		PK 31	Freigabe 6/2012	okay		53.5922869	10.0445265
Schlüterstraße		PK 17		okay		53.5669467	9.9865204
Rantzaustraße		PK 37		okay		53.5696467	10.0712684
Tilsiter Straße		PK 37		okay		53.5898498	10.0806278
Bauvereinsweg		PK 44	Freigabe 2/2012	okay		53.5167085	9.985405
Kurze Straße		PK 14		okay		53.5534148	9.9790816
Schneeglöckchenweg		PK 37	frei 1/2014	okay		53.5859279	10.0795011
Bostelreihe		PK 31		okay		53.5730524	10.0294655
Billhorner Mühlenweg		PK 41	Freigabe 5/2012	okay		53.5361696	10.0329971
