name	id	lat	lon
Waitzstraße	42975559	53.5597589	9.8759021
Friedrich-Ebert-Damm	43127442	53.5919811	10.1080931
Uferstraße	44622464	53.5710689	10.0398127
Auricher Damm	52809433	53.5286336	9.8799118
Jeverländer Weg	52809435	53.5285465	9.8809099
Wittmunder Weg	52809438	53.5282521	9.881762
Stammannstraße	55286816	53.5883068	10.0259476
Hauersweg	55286827	53.5872539	10.0300957
Lattenkamp	55949979	53.6016262	9.9959529
Robert-Koch-Stieg	60920196	53.5884278	9.9818069
Karlstraße	60958881	53.5745966	10.0148442
Joseph-Norden-Weg	70564411	53.6422897	9.9454964
Vehrenkampstraße	76562313	53.5830185	9.9368586
Am Felde	77743237	53.550286	9.9325267
Winterstraße	77743238	53.5498265	9.9336556
Krohnstieg	97327427	53.6487939	10.0109314
Am Rathenaupark	122982823	53.5498993	9.9115624
Kükenstieg	126710460	53.5960285	9.8528287
Gänsestieg	128028020	53.597154	9.8575346
Krohnstieg	135264295	53.6485584	10.0097039
Edgar-Roß-Straße	135652387	53.596135	9.9855924
Löfflerstraße	136676136	53.5565947	9.9400395
Warburgstraße	136700005	53.5594745	9.9941814
Binderstraße	136700687	53.5681492	9.9918121
Feldbrunnenstraße	136700688	53.5672692	9.9907405
Johnsallee	136700689	53.5665492	9.9923524
Rappstraße	136712397	53.569989	9.9823169
Bartelsstraße	136784574	53.5634423	9.9631283
Hartungstraße	136915269	53.5702938	9.98738
Mollerstraße	136915276	53.5702276	9.9918708
Nonnenstieg	136965463	53.5819447	9.9916567
Nonnenstieg	136965464	53.5832867	9.9907472
Oberstraße	136967615	53.5772804	9.9829436
Gustav-Falke-Straße	137037842	53.5726846	9.9733625
Vereinsstraße	137037889	53.5687087	9.9603503
Von-der-Tann-Straße	137037890	53.5720467	9.9602921
Sedanstraße	137133022	53.5696461	9.9781276
Kottwitzstraße	137159050	53.5786177	9.9691953
Kottwitzstraße	137159053	53.5803702	9.966076
Nagels Allee	137433769	53.5655437	9.9585021
Nagels Allee	137433771	53.5650743	9.9579541
Erikastraße	137536865	53.5936158	9.9873174
Gademannstraße	137815346	53.5476698	9.9496094
Hoheschulstraße	137845987	53.5471985	9.9478053
Biernatzkistraße	137947041	53.5495137	9.9396673
Schmarjestraße	137947077	53.5490023	9.9405104
Bartelsstraße	139056844	53.5613862	9.9654191
Glashüttenstraße	139056851	53.5591369	9.9729086
Bartelsstraße	139172725	53.5619863	9.9647346
Hinschstraße	139249219	53.6014641	9.9110862
Rütersbarg	139263539	53.6029766	9.9550754
Kraepelinweg	139541985	53.5797537	10.0510379
Langermannsweg	139541987	53.5801801	10.0502738
Deichstraße	142944250	53.5466907	9.9881053
Annenstraße	143062837	53.5531502	9.9643145
Billrothstraße	143258797	53.5541386	9.9428044
Virchowstraße	143258820	53.5550149	9.9483473
Bei der Friedenseiche	143262019	53.5542674	9.9410215
Erzbergerstraße	143553180	53.5510696	9.9318334
St. Pauli-Elbtunnel	143575088	53.5438704	9.9664617
Im Tale	143824743	53.5958187	9.9805605
Nissenstraße	143824755	53.5967865	9.9854188
Siemssenstraße	143824770	53.5975035	9.9852662
Tarpenbekstraße	143824792	53.5989234	9.9840912
Winzeldorfer Weg	143824793	53.5966524	9.9794104
Arnemannstraße	143878184	53.5481244	9.9316383
Arnoldstraße	143878185	53.5490721	9.9268251
Bergiusstraße	143878194	53.553654	9.927253
Mottenburger Straße	143878219	53.5511322	9.9281953
Rothestraße	143878235	53.5470023	9.9289625
Stangestraße	143878239	53.5517302	9.9315703
Othmarscher Kirchenweg	144529940	53.5524338	9.9046255
Othmarscher Kirchenweg	144529941	53.5530775	9.9012017
Waitzstraße	144710183	53.559447	9.8796546
Beselerplatz	145302032	53.5602007	9.8878455
Beckmannstraße	145390839	53.5629722	9.8799672
Bei der Flottbeker Kirche	145390841	53.5660521	9.8764257
Beselerstraße	145390843	53.5639438	9.8814611
Kaulbachstraße	145390856	53.5639784	9.8831696
Milcherstraße	145390862	53.5668244	9.8793188
Norburger Straße	145511456	53.5673539	9.9114588
Kielkamp	146226719	53.5728261	9.8996808
Frustbergstraße	146342890	53.609061	9.9737774
Merckelweg	146342907	53.608472	9.9695096
Stavenhagenstraße	146342917	53.6096257	9.9687872
Borsteler Chaussee	146435892	53.6084579	9.976789
Manteuffelstraße	146854164	53.5606408	9.824273
Aldenrathsweg	147109529	53.5965785	10.0416585
Wasmannstraße	147109664	53.5962065	10.0418641
Schloßgarten	147489505	53.5705338	10.0695295
Auedeich	147563925	53.5276794	9.8866296
