name	zusatz	polizei	status		lat	lon
Pelzerstraße		PK 14	okay		53.5497231	9.9948827
Pestalozzistraße		PK 33	okay		53.5871264	10.0484918
Peter-Marquard-Straße		PK 31	okay		53.5828418	10.0116113
Pillauer Straße		PK 37	okay		53.5936241	10.0837497
Plan		PK 14	okay		53.5513438	9.9940981
Poelsweg		PK 41	okay		53.5607995	10.062723
Poppenhusenstraße		PK 31	okay		53.5860295	10.0435449
Pöseldorfer Weg		PK 17	okay		53.5740434	9.998227
Poststraße		PK 14	okay		53.5533775	9.9891213
Präsident-Krahn-Straße		PK 21	okay		53.5540957	9.9361594
Preystraße		PK 33	okay		53.5822091	10.012174
Pumpen		PK 14	okay		53.5481204	10.0026659
Puvogelstraße		PK 37	okay		53.5768288	10.0853786
Quarree		PK 37	okay		53.5725314	10.0642996
Raboisen		PK 14	okay		53.5518224	9.9974883
Rambachstraße		PK 14	okay		53.5446051	9.9762862
Rathausstraße		PK 14	okay		53.550008	9.9946741
Ratsmühlendamm		PK 34	okay		53.6267507	10.0191733
Reekamp		PK 34	okay		53.6511576	10.0107494
Rehhoffstraße		PK 14	okay		53.5470844	9.9814116
Reimarusstraße		PK 14	okay		53.5449732	9.9752561
Reinbeker Weg		PK 43	okay		53.4920166	10.2247915
Reinfeldstraße		PK 17	okay		53.5655087	9.9768267
Reismühle		PK 31	okay		53.5615683	10.0336968
Repgowstieg		PK 23	okay		53.5870207	9.9503324
Richard-Linde-Weg		PK 43	okay		53.5011899	10.1886932
Riekbornweg		PK 24	okay		53.633881	9.9150025
Roggenkamp		PK 31	okay		53.5864674	10.043123
Rolandsbrücke		PK 14	okay		53.5487251	9.994298
Rübenkamp		PK 36	okay		53.6172489	10.0342775
Ruselerweg		PK 43	okay		53.4930387	10.1948695
Rüsternstieg		PK 34	okay		53.6245169	10.0133953
Rütersbarg		PK 23	okay		53.6015747	9.955093
Schädlerstraße		PK 37	okay		53.5723873	10.0763803
Schauenburgerstraße		PK 14	okay		53.5494567	9.9942554
Schenkendorfstraße		PK 31	okay		53.5767917	10.0168546
Schiffbeker Schanze		PK 42	okay		53.5359465	10.1116427
Schleemer Ring		PK 42	okay		53.536382	10.1152066
Schlettstadter Straße		PK 37	okay		53.5829458	10.0634173
Schneeglöckchenweg		PK 37	okay		53.5859279	10.0795011
Schreyerring		PK 36	okay		53.6110496	10.0595023
Schuldorffstraße		PK 43	okay		53.4835623	10.2282149
Schulenbrooksweg		PK 43	okay		53.48643	10.2208433
Schurzallee-Nord		PK 41	okay		53.5502018	10.0674213
Schwansenstraße		PK 37	okay		53.5801966	10.0625274
Schwenckestraße		PK 23	okay		53.5799205	9.9510294
Sichter		PK 43	okay		53.4890182	10.2198536
Simon-von-Utrecht-Straße		PK 15	okay		53.5509724	9.9683859
Smidtstraße		PK 41	okay		53.5637785	10.0610336
Spielbudenplatz		PK 15	okay		53.5493715	9.9637437
Spökelbarg		PK 42	okay		53.5372444	10.1111584
Spökelbargring		PK 42	okay		53.5367434	10.1102793
Stahltwiete		PK 25	okay		53.5622966	9.9258614
Steinbeker Markt		PK 42	okay		53.5312804	10.1261804
Steintorweg		PK 11	okay		53.5531208	10.0096131
Straßburger Stieg		PK 37	okay		53.5837294	10.0716149
Straußstraße		PK 25	okay		53.5662404	9.9079347
Stubbenhuk		PK 14	okay		53.5452316	9.9809527
Talstraße		PK 15	okay		53.6232954	10.0344257
Teilfeld		PK 14	okay		53.5483493	9.9814075
Tierparkallee		PK 27	okay		53.5957382	9.9339563
Trelder Weg		PK 46	okay		53.4395425	9.9899158
Tunnelstraße		PK 2	okay		53.5289023	10.0189118
Uckermarkweg		PK 34	okay		53.6500733	9.9935478
Uhlandstraße		PK 31	okay		53.5653625	10.0284781
Uhlenbüttler Kamp		PK 35	okay		53.6414611	10.0493763
Urnenfeld		PK 25	okay		53.5705321	9.8778566
Venusberg		PK 14	okay		53.5471473	9.9753398
Vinhagenweg		PK 43	okay		53.4884138	10.2146203
Virchowstraße		PK 21	okay		53.5512693	9.9470881
Vogelhüttendeich		PK 44	okay		53.51295	10.0061016
Von-Bargen-Straße		PK 37	okay		53.5749541	10.0824709
Von-Hein-Straße		PK 37	okay		53.5748311	10.0652178
Von-Heß-Weg		PK 41	okay		53.5567063	10.0649857
Vorwerkstraße		PK 16	okay		53.5597731	9.9712642
Wachsbleiche		PK 43	okay		53.485864	10.2076719
Wackerhagen		PK 41	okay		53.5515305	10.0602388
Waitzstraße		PK 25	okay		53.5597589	9.8759021
Waldreiterring		PK 35	okay		53.6659451	10.1500559
Wandsbeker Königstraße		PK 37	okay		53.5737764	10.0632185
Washingtonring		PK 42	okay		53.5450613	10.0947509
Wasserstieg		PK 37	okay		53.5779851	10.0664749
Westphalensweg		PK 11	okay		53.5540693	10.0244729
Wetteringe		PK 43	okay		53.4856695	10.2088604
Wexstraße		PK 14	okay		53.5519103	9.9852938
Wichernsweg		PK 41	okay		53.5506505	10.0624026
Wikingstraße		PK 47	okay		53.5329505	9.8606313
Wilhelm-Busch-Weg		PK 46	okay		53.4592581	9.9619124
Willerstwiete		PK 34	okay		53.6477982	10.0198576
Witts Allee		PK 26	okay		53.5633717	9.8159534
Woermannsweg		PK 34	okay		53.624357	10.0281397
Woldsenweg		PK 23	okay		53.5877405	9.9870298
Wolfshagen		PK 41	okay		53.5600287	10.0486828
Wördenmoorweg		PK 34	okay		53.6550177	10.0223757
Wriedestraße		PK 47	okay		53.5352456	9.8780111
Wulffsblöcken		PK 34	okay		53.6572152	10.0114341
Zeißstraße		PK 21	okay		53.5548489	9.9313339
Zeughausmarkt		PK 14	okay		53.5493499	9.9742083
Zirkusweg		PK 15	okay		53.5497272	9.9690088
