name	id	lat	lon
Rellinger Weg	23780939	53.6255684	9.8896366
Soester Straße	23781999	53.5568705	10.0118391
Reinholdstraße	23806619	53.4545363	9.9848893
Thusneldastraße	23821240	53.5815336	9.9357366
Radenwisch	23840334	53.6400135	9.9230374
Biedermannplatz	24273375	53.5812571	10.0338897
Flotowstraße	24273386	53.5800632	10.0260411
Von-Axen-Straße	24273391	53.5802113	10.0246431
Resskamp	24369587	53.5733786	9.8626926
Steinhoffweg	24404063	53.6228186	9.9661378
Valparaisostraße	24472238	53.5655328	9.9161554
Ottersbekallee	24496450	53.5789109	9.9581374
Nettelbeckstraße	24506916	53.5643579	9.9139745
Spandauer Weg	24527019	53.5830698	10.1395039
Kuehnstieg	24555763	53.5769681	10.116468
Rebeccaweg	24758241	53.5633188	10.0687424
Reekamp	24808073	53.6528773	10.0100934
Bei der Reitbahn	24840613	53.5512223	9.9252974
Scheteligsweg	24850197	53.5509158	10.0822012
Grünebergstraße	24854409	53.5550816	9.9130828
Wedeler Landstraße	24936244	53.5815698	9.7598433
Beetsweg	24978689	53.5506455	9.9321946
Öjendorfer Steinkamp	24995120	53.5410954	10.1320301
Julius-Ludowieg-Straße	25041272	53.4583538	9.971467
Osterbrook	25092509	53.546313	10.0533932
Watzenweg	25159026	53.5018717	10.1917244
Mendelssohnstraße	25164224	53.5634675	9.9063118
Ifflandstraße	25474257	53.5608798	10.022297
Ifflandstraße	25474258	53.5620487	10.0223914
Sieldeich	25501984	53.5280335	10.0206608
Am Gleise	25502117	53.525807	10.0165141
Am Gleise	25502121	53.5248085	10.0157163
Am Gleise	25502135	53.5237376	10.0150455
Slomanstraße	25502921	53.5262254	10.0195439
Wilhelmsburger Straße	25502942	53.5274172	10.0198168
Marktstraße	25554898	53.5581777	9.9706887
Bachstraße	25597572	53.5738091	10.0285789
Desenißstraße	25609459	53.5774068	10.0315493
Siekkamp	25610329	53.6550881	10.1158429
Parkallee	25684547	53.5782336	9.9841153
Brahmsallee	25684555	53.578184	9.9816968
Gustav-Freytag-Brücke	25738379	53.5736556	10.014948
Karlstraßenbrücke	25738382	53.574586	10.0146607
Grillparzerbrücke	25738460	53.5780664	10.0140732
Schwentnerring	25810675	53.4940584	10.008812
Grotestraße	25812683	53.5071262	9.9946047
Fährstraße	25828997	53.5163472	9.9848222
Marianne-Wolff-Weg	25996824	53.5891584	10.0586955
Glashüttenstraße	26392593	53.5580537	9.9725787
Marktstraße	26413803	53.5584172	9.9741811
Talstraße	26609297	53.5520941	9.9602576
Bleicherstraße	26609383	53.5547488	9.9608341
Lippmannstraße	26609432	53.5604142	9.9613693
Eichenstraße	26609629	53.5751881	9.9613469
Stammannstraße	26609819	53.5864287	10.0232486
Sportplatzring	26610191	53.5937252	9.9312648
Högenstraße	26615832	53.5795573	9.9385578
Lippmannstraße	26616367	53.5614975	9.9595756
Koppel	26622568	53.5599549	10.0132634
Rostocker Straße	26622843	53.5567873	10.0149781
Forsmannstraße	26623110	53.5832371	10.0146784
Herrenweide	26624471	53.5486558	9.9563874
Brunckhorstweg	26624733	53.58218	9.9357496
Danziger Straße	26627293	53.5565923	10.0137211
Am Langenzug	26627417	53.5778331	10.0133356
Hartwig-Hesse-Straße	26628670	53.5806575	9.9467014
Lattenkamp	26628835	53.601934	9.9961654
Fiefstücken	26642431	53.6000675	10.0037984
Von-Hutten-Straße	26717063	53.5714497	9.9100719
Meerweinstraße	26747362	53.5853962	10.0240528
Henriettenstraße	26750204	53.5747121	9.9537127
Krohnstieg	26965851	53.6494149	10.015174
Große Freiheit	26969193	53.5506248	9.9575781
Reemstückenkamp	27004951	53.614695	9.9101333
Röweland	27051995	53.65648	10.0151293
Beim Schäferhof	27060154	53.6430492	10.0173391
Spatzenwinkel	27141383	53.5968947	9.8805374
Sievekingsallee	27224387	53.5613422	10.0499323
Durchschnitt	27260008	53.5647483	9.9797477
Jagdhorn	27356676	53.6131381	9.9831178
Große Brunnenstraße	27385218	53.5511844	9.9256613
Völckersstraße	27709723	53.5570209	9.9266936
Dunckersweg	27956762	53.5527619	10.0786552
Böckmannstraße	28001062	53.5533845	10.0171708
Ohnsorgweg	28074159	53.5551894	9.869996
Vogelhüttendeichbrücke	28155763	53.5190539	9.9819103
Rellinger Straße	28313036	53.5731618	9.943789
Bahrenfelder Straße	29318511	53.5529747	9.9295688
Am Lehmberg	30640716	53.6013961	10.1431148
Leipeltstraße	30992271	53.4911793	10.0082262
Vogelhüttendeich	30996193	53.5182118	9.9847582
Feldbrunnenstraße	31638114	53.5652187	9.9909614
Feldbrunnenstraße	31638115	53.5689651	9.9907932
Sternstraße	31987579	53.5587262	9.9669655
Stübenhofer Weg	32621628	53.4831353	10.0155693
